"map_id","benchmark_id","distances","fscores","precisions","recalls"
"201-spear-video-577761731441","GTSuite-chris-201-spear-video-577761731441_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0241775456815958,0.0512185320258141,0.0777091979980469,0.114397540688515,0.145949766039848,0.178837388753891,0.208486288785934,0.23132611811161,0.250680476427078,0.268469363451004,0.287304073572159,0.304852217435837,0.334422022104263,0.35800975561142,0.378679931163788,0.413183331489563,0.521647870540619]","[0.0901623889803886,0.29490664601326,0.442875981330872,0.553926229476929,0.624983131885529,0.695586860179901,0.762534081935883,0.789468348026276,0.808493793010712,0.827580034732819,0.849201500415802,0.871729135513306,0.900716781616211,0.917596876621246,0.931299328804016,0.947418570518494,0.981267988681793]","[0.0139605756849051,0.0280446205288172,0.0425912365317345,0.0637852847576141,0.0826220810413361,0.102609261870384,0.120750486850739,0.135517373681068,0.148336797952652,0.160223096609116,0.172900035977364,0.184726446866989,0.205328673124313,0.222388446331024,0.237657457590103,0.264203131198883,0.355250626802444]"
"201-spear-video-577761731441","GTSuite-chris-201-spear-video-577761731441_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0453403331339359,0.0737731531262398,0.108120761811733,0.171111613512039,0.223402410745621,0.259461492300034,0.286273330450058,0.308435559272766,0.327737301588058,0.344781517982483,0.359700798988342,0.373197823762894,0.397587925195694,0.419189602136612,0.438030004501343,0.469800978899002,0.558680355548859]","[0.32933896780014,0.420748859643936,0.508720636367798,0.644937872886658,0.736875891685486,0.785787224769592,0.816701948642731,0.839814960956573,0.856702566146851,0.869473695755005,0.879863858222961,0.889528691768646,0.907301127910614,0.921489417552948,0.932564318180084,0.94813197851181,0.980370819568634]","[0.0243460331112146,0.0404311269521713,0.0604883059859276,0.0986413061618805,0.13165907561779,0.155384123325348,0.173554077744484,0.18890742957592,0.202626779675484,0.215023517608643,0.226058319211006,0.236133217811584,0.254571855068207,0.271303355693817,0.2862389087677,0.312264204025269,0.390649020671844]"
"small-office-6-scans-video-576721897501","GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.00314355688169599,0.00654005771502852,0.0116411503404379,0.0194915495812893,0.0248645544052124,0.0288899540901184,0.0320934765040874,0.0349369756877422,0.037495281547308,0.0398339852690697,0.0419437400996685,0.0438995361328125,0.047610230743885,0.0511554144322872,0.0546391122043133,0.0610848367214203,0.0868722796440125]","[0.0424263551831245,0.0791278779506683,0.123684622347355,0.181341379880905,0.222688212990761,0.255995899438858,0.285596907138824,0.312124133110046,0.336599767208099,0.357373505830765,0.376728564500809,0.395023196935654,0.432185649871826,0.472558051347733,0.509968876838684,0.573794722557068,0.834280729293823]","[0.00163224863354117,0.00341099081560969,0.00610801763832569,0.0102992858737707,0.0131673887372017,0.0153087992221117,0.0170020256191492,0.0185040961951017,0.0198534186929464,0.0210925117135048,0.0222081616520882,0.0232411827892065,0.0251927506178617,0.0270413495600224,0.0288659334182739,0.0322595573961735,0.0458218120038509]"
"small-office-6-scans-video-576721897501","GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.00402210373431444,0.00760891195386648,0.0123519189655781,0.0188312381505966,0.0232110004872084,0.026636553928256,0.0296842083334923,0.0324042625725269,0.0348410494625568,0.037030391395092,0.0390601940453053,0.0409860163927078,0.0445916540920734,0.0480080135166645,0.0514595359563828,0.0583214499056339,0.0833769515156746]","[0.051291823387146,0.086259700357914,0.123998664319515,0.17906466126442,0.221418380737305,0.254394114017487,0.283671289682388,0.310547232627869,0.334870636463165,0.355618804693222,0.374649405479431,0.392556428909302,0.430939853191376,0.470102190971375,0.505305409431458,0.563593626022339,0.832944333553314]","[0.00209311884827912,0.00397999212145805,0.00649968720972538,0.00993819162249565,0.0122474422678351,0.0140540478751063,0.0156615395098925,0.0170939713716507,0.018376499414444,0.0195321310311556,0.02060417085886,0.0216217506676912,0.0235122982412577,0.0252956338226795,0.0271102003753185,0.0307518448680639,0.0438848957419395]"
"office-6-scans-video-576721897501","GTSuite-chris-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0209360718727112,0.0386044606566429,0.0652967616915703,0.109025590121746,0.140717148780823,0.16641391813755,0.188557609915733,0.208555772900581,0.227304860949516,0.245234236121178,0.262109249830246,0.277270615100861,0.304078787565231,0.328055560588837,0.349623918533325,0.386895477771759,0.515625178813934]","[0.0665445104241371,0.115506254136562,0.202956363558769,0.315042555332184,0.385216861963272,0.434125959873199,0.475027173757553,0.513257503509521,0.548728287220001,0.582923471927643,0.616759300231934,0.646131336688995,0.692072629928589,0.72274386882782,0.748088777065277,0.787387311458588,0.894750773906708]","[0.0124221490696073,0.0231750011444092,0.0389071404933929,0.0659189596772194,0.0860809832811356,0.102936297655106,0.11762360483408,0.130865707993507,0.143341228365898,0.15528005361557,0.166416272521019,0.176507040858269,0.194844126701355,0.212183013558388,0.228118196129799,0.256454199552536,0.362167000770569]"
,"GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
"office-6-scans-video-576721897501","GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0213978793472052,0.0385534279048443,0.0607659555971622,0.10100144892931,0.126036882400513,0.146551206707954,0.165461048483849,0.182981982827187,0.199060216546059,0.214471638202667,0.227764755487442,0.239350229501724,0.259610176086426,0.278550237417221,0.295907497406006,0.327184766530991,0.447879314422607]","[0.0533252544701099,0.0962317287921906,0.15259924530983,0.283042907714844,0.346452653408051,0.391754388809204,0.43312805891037,0.470887154340744,0.505784153938293,0.543169856071472,0.573911070823669,0.595339119434357,0.62516576051712,0.651385366916656,0.674706161022186,0.718208968639374,0.860847413539886]","[0.0133843077346683,0.0241054017096758,0.0379361882805824,0.0614678636193275,0.0770298913121223,0.090134859085083,0.102263584733009,0.113553941249847,0.123914465308189,0.133614867925644,0.142074525356293,0.149784877896309,0.163819417357445,0.177152812480927,0.189510866999626,0.211846366524696,0.302677869796753]"
,"GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
"office-6-scans-video-576721897501","GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0267038065940142,0.0510135777294636,0.0772688835859299,0.115247458219528,0.145936325192451,0.177177041769028,0.203326880931854,0.222928211092949,0.239488065242767,0.254668831825256,0.269148766994476,0.282631367444992,0.306742191314697,0.32822197675705,0.347533702850342,0.383667290210724,0.52363109588623]","[0.066821850836277,0.117967799305916,0.164174050092697,0.237771078944206,0.305555582046509,0.390415370464325,0.447241187095642,0.484176188707352,0.512261211872101,0.534751653671265,0.554716944694519,0.572730362415314,0.603877067565918,0.63077437877655,0.654395520687103,0.698744893074036,0.84737765789032]","[0.0166859868913889,0.0325432270765305,0.050524078309536,0.0760558322072029,0.0958599969744682,0.114589937031269,0.131571188569069,0.144798800349236,0.156273975968361,0.167131587862968,0.177679419517517,0.187605544924736,0.205585032701492,0.221823707222939,0.236590668559074,0.264430493116379,0.378878086805344]"
"office-6-scans-video-576721897501","GTSuite-chris-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0264884848147631,0.0503892973065376,0.0844584926962852,0.132624730467796,0.162934184074402,0.187276944518089,0.208599478006363,0.227921470999718,0.246600776910782,0.264742970466614,0.281543344259262,0.297086983919144,0.325270473957062,0.348601102828979,0.36953741312027,0.406011909246445,0.528719305992126]","[0.0627493485808372,0.112505972385406,0.19405671954155,0.307387232780457,0.368782430887222,0.413628458976746,0.45162233710289,0.48650997877121,0.519671976566315,0.550856053829193,0.580019533634186,0.606525003910065,0.648501634597778,0.676806032657623,0.700511157512665,0.743705093860626,0.879824817180634]","[0.0167875122278929,0.0324648432433605,0.053974874317646,0.0845528841018677,0.104566752910614,0.121039845049381,0.135620594024658,0.148820698261261,0.161655783653259,0.174242094159126,0.185886681079865,0.196722641587257,0.217074513435364,0.234758958220482,0.250963509082794,0.279224753379822,0.377909541130066]"
